Serial number of record	ID	Instrument	Prize	Px_fill	Side	Status
1986	0x70a	AUDUSD 	0.76	0.847	Buy	In_process
1987	0x70a	AUDUSD 	0.76	0.847	Buy	 PartialFill
1988	0x70a	AUDUSD 	0.76	0.847	Buy	Done
1989	0xf82	EURJPY 	126.39	127.050	 Sell	New
1990	0xf82	EURJPY 	126.39	127.050	 Sell	In_process
1991	0xf82	EURJPY 	126.39	127.050	 Sell	 Cansel
1992	0xf82	EURJPY 	126.39	127.050	 Sell	Done
1993	0xb70	EURPLN 	4.5	4.500	 Sell	New
1994	0xb70	EURPLN 	4.5	4.500	 Sell	In_process
1995	0xb70	EURPLN 	4.5	4.500	 Sell	 PartialFill
1996	0xb70	EURPLN 	4.5	4.500	 Sell	Done
1997	0x722	EURPLN 	4.5	4.484	 Sell	New
1998	0x722	EURPLN 	4.5	4.484	 Sell	In_process
1999	0x722	EURPLN 	4.5	4.484	 Sell	Fill
2000	0x722	EURPLN 	4.5	4.484	 Sell	Done
2001	0x1b7	USDCAD 	0.78	0.876	Buy	New
2002	0x1b7	USDCAD 	0.78	0.876	Buy	In_process
2003	0x1b7	USDCAD 	0.78	0.876	Buy	 PartialFill
2004	0x1b7	USDCAD 	0.78	0.876	Buy	Done
2005	0x14ac	USDJPY 	105.02	105.020	Buy	New
2006	0x14ac	USDJPY 	105.02	105.020	Buy	In_process
2007	0x14ac	USDJPY 	105.02	105.020	Buy	Fill
2008	0x14ac	USDJPY 	105.02	105.020	Buy	Done
2009	0xd07	GBPUSD 	1.37	1.335	Buy	New
2010	0xd07	GBPUSD 	1.37	1.335	Buy	In_process
2011	0xd07	GBPUSD 	1.37	1.335	Buy	 Cansel
2012	0xd07	GBPUSD 	1.37	1.335	Buy	Done
2013	0x98b	EURJPY 	126.39	127.110	 Sell	New
2014	0x98b	EURJPY 	126.39	127.110	 Sell	In_process
2015	0x98b	EURJPY 	126.39	127.110	 Sell	Fill
2016	0x98b	EURJPY 	126.39	127.110	 Sell	Done
2017	0x13e3	EURJPY 	126.39	127.080	 Sell	New
2018	0x13e3	EURJPY 	126.39	127.080	 Sell	In_process
2019	0x13e3	EURJPY 	126.39	127.080	 Sell	 PartialFill
2020	0x13e3	EURJPY 	126.39	127.080	 Sell	Done
2021	0xfe	USDCHF 	0.9	0.859	Buy	New
2022	0xfe	USDCHF 	0.9	0.859	Buy	In_process
2023	0xfe	USDCHF 	0.9	0.859	Buy	 Cansel
2024	0xfe	USDCHF 	0.9	0.859	Buy	Done
2025	0xf43	USDCHF 	0.9	0.900	Buy	New
2026	0xf43	USDCHF 	0.9	0.900	Buy	In_process
2027	0xf43	USDCHF 	0.9	0.900	Buy	 PartialFill
2028	0xf43	USDCHF 	0.9	0.900	Buy	Done
2029	0x915	USDJPY 	105.02	105.560	 Sell	New
2030	0x915	USDJPY 	105.02	105.560	 Sell	In_process
2031	0x915	USDJPY 	105.02	105.560	 Sell	 PartialFill
2032	0x915	USDJPY 	105.02	105.560	 Sell	Done
2033	0x127d	EURUSD 	1.2	1.173	Buy	New
2034	0x127d	EURUSD 	1.2	1.173	Buy	In_process
2035	0x127d	EURUSD 	1.2	1.173	Buy	 PartialFill
2036	0x127d	EURUSD 	1.2	1.173	Buy	Done
2037	0x12df	GBRJPY 	143.61	144.350	 Sell	New
2038	0x12df	GBRJPY 	143.61	144.350	 Sell	In_process
2039	0x12df	GBRJPY 	143.61	144.350	 Sell	 Cansel
2040	0x12df	GBRJPY 	143.61	144.350	 Sell	Done
2041	0xbfd	EURUSD 	1.2	1.173	Buy	New
2042	0xbfd	EURUSD 	1.2	1.173	Buy	In_process
2043	0xbfd	EURUSD 	1.2	1.173	Buy	Fill
2044	0xbfd	EURUSD 	1.2	1.173	Buy	Done
2045	0x120e	USDCAD 	0.78	0.780	Buy	New
2046	0x120e	USDCAD 	0.78	0.780	Buy	In_process
2047	0x120e	USDCAD 	0.78	0.780	Buy	Fill
2048	0x120e	USDCAD 	0.78	0.780	Buy	Done
2049	0x145f	EURJPY 	126.39	127.080	 Sell	New
2050	0x145f	EURJPY 	126.39	127.080	 Sell	In_process
2051	0x145f	EURJPY 	126.39	127.080	 Sell	 PartialFill
2052	0x145f	EURJPY 	126.39	127.080	 Sell	Done
2053	0x4e0	USDPLN 	3.7	3.694	 Sell	New
2054	0x4e0	USDPLN 	3.7	3.694	 Sell	In_process
2055	0x4e0	USDPLN 	3.7	3.694	 Sell	 Cansel
2056	0x4e0	USDPLN 	3.7	3.694	 Sell	Done
2057	0x176c	EURJPY 	126.39	127.030	 Sell	New
2058	0x176c	EURJPY 	126.39	127.030	 Sell	In_process
2059	0x176c	EURJPY 	126.39	127.030	 Sell	Fill
2060	0x176c	EURJPY 	126.39	127.030	 Sell	Done
2061	0x13c3	EURCHF 	1.08	1.137	 Sell	New
2062	0x13c3	EURCHF 	1.08	1.137	 Sell	In_process
2063	0x13c3	EURCHF 	1.08	1.137	 Sell	Fill
2064	0x13c3	EURCHF 	1.08	1.137	 Sell	Done
2065	0xb79	EURJPY 	126.39	127.080	 Sell	New
2066	0xb79	EURJPY 	126.39	127.080	 Sell	In_process
2067	0xb79	EURJPY 	126.39	127.080	 Sell	Fill
2068	0xb79	EURJPY 	126.39	127.080	 Sell	Done
2069	0xadc	EURPLN 	4.5	4.484	 Sell	New
2070	0xadc	EURPLN 	4.5	4.484	 Sell	In_process
2071	0xadc	EURPLN 	4.5	4.484	 Sell	 PartialFill
2072	0xadc	EURPLN 	4.5	4.484	 Sell	Done
2073	0x110b	USDPLN 	3.7	3.699	 Sell	New
2074	0x110b	USDPLN 	3.7	3.699	 Sell	In_process
2075	0x110b	USDPLN 	3.7	3.699	 Sell	Fill
2076	0x110b	USDPLN 	3.7	3.699	 Sell	Done
2077	0x80d	GBRJPY 	143.61	144.350	 Sell	New
2078	0x80d	GBRJPY 	143.61	144.350	 Sell	In_process
2079	0x80d	GBRJPY 	143.61	144.350	 Sell	 Cansel
2080	0x80d	GBRJPY 	143.61	144.350	 Sell	Done
2081	0x419	AUDUSD 	0.76	0.843	Buy	New
2082	0x419	AUDUSD 	0.76	0.843	Buy	In_process
2083	0x419	AUDUSD 	0.76	0.843	Buy	 PartialFill
2084	0x419	AUDUSD 	0.76	0.843	Buy	Done
2085	0xc37	GBPUSD 	1.37	1.333	Buy	New
2086	0xc37	GBPUSD 	1.37	1.333	Buy	In_process
2087	0xc37	GBPUSD 	1.37	1.333	Buy	Fill
2088	0xc37	GBPUSD 	1.37	1.333	Buy	Done
2089	0x1257	USDPLN 	3.7	3.696	 Sell	New
2090	0x1257	USDPLN 	3.7	3.696	 Sell	In_process
2091	0x1257	USDPLN 	3.7	3.696	 Sell	 PartialFill
2092	0x1257	USDPLN 	3.7	3.696	 Sell	Done
2093	0x323	USDCAD 	0.78	0.780	Buy	New
2094	0x323	USDCAD 	0.78	0.780	Buy	In_process
2095	0x323	USDCAD 	0.78	0.780	Buy	 PartialFill
2096	0x323	USDCAD 	0.78	0.780	Buy	Done
2097	0x547	GBPUSD 	1.37	1.336	Buy	New
2098	0x547	GBPUSD 	1.37	1.336	Buy	In_process
2099	0x547	GBPUSD 	1.37	1.336	Buy	 PartialFill
2100	0x547	GBPUSD 	1.37	1.336	Buy	Done
2101	0x129c	EURCHF 	1.08	1.080	 Sell	New
2102	0x129c	EURCHF 	1.08	1.080	 Sell	In_process
2103	0x129c	EURCHF 	1.08	1.080	 Sell	 PartialFill
2104	0x129c	EURCHF 	1.08	1.080	 Sell	Done
2105	0x7fa	USDPLN 	3.7	3.699	 Sell	New
2106	0x7fa	USDPLN 	3.7	3.699	 Sell	In_process
2107	0x7fa	USDPLN 	3.7	3.699	 Sell	 PartialFill
2108	0x7fa	USDPLN 	3.7	3.699	 Sell	Done
2109	0x13f6	USDCAD 	0.78	0.872	Buy	New
2110	0x13f6	USDCAD 	0.78	0.872	Buy	In_process
2111	0x13f6	USDCAD 	0.78	0.872	Buy	Fill
2112	0x13f6	USDCAD 	0.78	0.872	Buy	Done
2113	0x8dc	USDJPY 	105.02	104.550	Buy	New
2114	0x8dc	USDJPY 	105.02	104.550	Buy	In_process
2115	0x8dc	USDJPY 	105.02	104.550	Buy	 PartialFill
2116	0x8dc	USDJPY 	105.02	104.550	Buy	Done
2117	0x129e	USDPLN 	3.7	3.693	 Sell	New
2118	0x129e	USDPLN 	3.7	3.693	 Sell	In_process
2119	0x129e	USDPLN 	3.7	3.693	 Sell	 Cansel
2120	0x129e	USDPLN 	3.7	3.693	 Sell	Done
2121	0x8ce	USDPLN 	3.7	3.695	 Sell	New
2122	0x8ce	USDPLN 	3.7	3.695	 Sell	In_process
2123	0x8ce	USDPLN 	3.7	3.695	 Sell	 Cansel
2124	0x8ce	USDPLN 	3.7	3.695	 Sell	Done
2125	0xcd2	AUDUSD 	0.76	0.846	Buy	New
2126	0xcd2	AUDUSD 	0.76	0.846	Buy	In_process
2127	0xcd2	AUDUSD 	0.76	0.846	Buy	 PartialFill
2128	0xcd2	AUDUSD 	0.76	0.846	Buy	Done
2129	0xb54	USDJPY 	105.02	104.550	Buy	New
2130	0xb54	USDJPY 	105.02	104.550	Buy	In_process
2131	0xb54	USDJPY 	105.02	104.550	Buy	 Cansel
2132	0xb54	USDJPY 	105.02	104.550	Buy	Done
2133	0x1345	USDJPY 	105.02	105.560	 Sell	New
2134	0x1345	USDJPY 	105.02	105.560	 Sell	In_process
2135	0x1345	USDJPY 	105.02	105.560	 Sell	 Cansel
2136	0x1345	USDJPY 	105.02	105.560	 Sell	Done
2137	0x6c3	EURCHF 	1.08	1.143	 Sell	New
2138	0x6c3	EURCHF 	1.08	1.143	 Sell	In_process
2139	0x6c3	EURCHF 	1.08	1.143	 Sell	 PartialFill
2140	0x6c3	EURCHF 	1.08	1.143	 Sell	Done
2141	0x9d7	GBRJPY 	143.61	144.390	Buy	New
2142	0x9d7	GBRJPY 	143.61	144.390	Buy	In_process
2143	0x9d7	GBRJPY 	143.61	144.390	Buy	 Cansel
2144	0x9d7	GBRJPY 	143.61	144.390	Buy	Done
2145	0x3e5	USDJPY 	105.02	105.560	 Sell	New
2146	0x3e5	USDJPY 	105.02	105.560	 Sell	In_process
2147	0x3e5	USDJPY 	105.02	105.560	 Sell	Fill
2148	0x3e5	USDJPY 	105.02	105.560	 Sell	Done
2149	0xe6a	USDCHF 	0.9	0.900	Buy	New
2150	0xe6a	USDCHF 	0.9	0.900	Buy	In_process
2151	0xe6a	USDCHF 	0.9	0.900	Buy	Fill
2152	0xe6a	USDCHF 	0.9	0.900	Buy	Done
2153	0xe27	USDJPY 	105.02	105.550	 Sell	New
2154	0xe27	USDJPY 	105.02	105.550	 Sell	In_process
2155	0xe27	USDJPY 	105.02	105.550	 Sell	 PartialFill
2156	0xe27	USDJPY 	105.02	105.550	 Sell	Done
2157	0xa24	EURUSD 	1.2	1.200	 Sell	New
2158	0xa24	EURUSD 	1.2	1.200	 Sell	In_process
2159	0xa24	EURUSD 	1.2	1.200	 Sell	 PartialFill
2160	0xa24	EURUSD 	1.2	1.200	 Sell	Done
2161	0xc0c	EURUSD 	1.2	1.173	Buy	New
2162	0xc0c	EURUSD 	1.2	1.173	Buy	In_process
2163	0xc0c	EURUSD 	1.2	1.173	Buy	 PartialFill
2164	0xc0c	EURUSD 	1.2	1.173	Buy	Done
2165	0x89	EURUSD 	1.2	1.200	 Sell	New
2166	0x89	EURUSD 	1.2	1.200	 Sell	In_process
2167	0x89	EURUSD 	1.2	1.200	 Sell	 PartialFill
2168	0x89	EURUSD 	1.2	1.200	 Sell	Done
2169	0xe47	EURPLN 	4.5	4.483	 Sell	New
2170	0xe47	EURPLN 	4.5	4.483	 Sell	In_process
2171	0xe47	EURPLN 	4.5	4.483	 Sell	 PartialFill
2172	0xe47	EURPLN 	4.5	4.483	 Sell	Done
2173	0x1764	GBPUSD 	1.37	1.335	Buy	New
2174	0x1764	GBPUSD 	1.37	1.335	Buy	In_process
2175	0x1764	GBPUSD 	1.37	1.335	Buy	 Cansel
2176	0x1764	GBPUSD 	1.37	1.335	Buy	Done
2177	0x1073	USDJPY 	105.02	104.540	Buy	New
2178	0x1073	USDJPY 	105.02	104.540	Buy	In_process
2179	0x1073	USDJPY 	105.02	104.540	Buy	Fill
2180	0x1073	USDJPY 	105.02	104.540	Buy	Done
2181	0x104e	EURUSD 	1.2	1.179	 Sell	New
2182	0x104e	EURUSD 	1.2	1.179	 Sell	In_process
2183	0x104e	EURUSD 	1.2	1.179	 Sell	Fill
2184	0x104e	EURUSD 	1.2	1.179	 Sell	Done
2185	0xfc	EURPLN 	4.5	4.485	 Sell	New
2186	0xfc	EURPLN 	4.5	4.485	 Sell	In_process
2187	0xfc	EURPLN 	4.5	4.485	 Sell	 PartialFill
2188	0xfc	EURPLN 	4.5	4.485	 Sell	Done
2189	0xe6f	USDCAD 	0.78	0.872	Buy	New
2190	0xe6f	USDCAD 	0.78	0.872	Buy	In_process
2191	0xe6f	USDCAD 	0.78	0.872	Buy	 PartialFill
2192	0xe6f	USDCAD 	0.78	0.872	Buy	Done
2193	0x1039	USDCHF 	0.9	0.856	Buy	New
2194	0x1039	USDCHF 	0.9	0.856	Buy	In_process
2195	0x1039	USDCHF 	0.9	0.856	Buy	 Cansel
2196	0x1039	USDCHF 	0.9	0.856	Buy	Done
2197	0x1005	EURUSD 	1.2	1.200	 Sell	New
2198	0x1005	EURUSD 	1.2	1.200	 Sell	In_process
2199	0x1005	EURUSD 	1.2	1.200	 Sell	 PartialFill
2200	0x1005	EURUSD 	1.2	1.200	 Sell	Done
2201	0x1238	EURUSD 	1.2	1.176	 Sell	New
2202	0x1238	EURUSD 	1.2	1.176	 Sell	In_process
2203	0x1238	EURUSD 	1.2	1.176	 Sell	 PartialFill
2204	0x1238	EURUSD 	1.2	1.176	 Sell	Done
2205	0xe08	USDPLN 	3.7	3.692	 Sell	New
2206	0xe08	USDPLN 	3.7	3.692	 Sell	In_process
2207	0xe08	USDPLN 	3.7	3.692	 Sell	 Cansel
2208	0xe08	USDPLN 	3.7	3.692	 Sell	Done
2209	0x1509	USDCAD 	0.78	0.873	Buy	New
2210	0x1509	USDCAD 	0.78	0.873	Buy	In_process
2211	0x1509	USDCAD 	0.78	0.873	Buy	 PartialFill
2212	0x1509	USDCAD 	0.78	0.873	Buy	Done
2213	0x413	EURCHF 	1.08	1.143	 Sell	New
2214	0x413	EURCHF 	1.08	1.143	 Sell	In_process
2215	0x413	EURCHF 	1.08	1.143	 Sell	 Cansel
2216	0x413	EURCHF 	1.08	1.143	 Sell	Done
2217	0x9bb	EURUSD 	1.2	1.178	 Sell	New
2218	0x9bb	EURUSD 	1.2	1.178	 Sell	In_process
2219	0x9bb	EURUSD 	1.2	1.178	 Sell	Fill
2220	0x9bb	EURUSD 	1.2	1.178	 Sell	Done
2221	0x1008	EURCHF 	1.08	1.143	 Sell	New
2222	0x1008	EURCHF 	1.08	1.143	 Sell	In_process
2223	0x1008	EURCHF 	1.08	1.143	 Sell	 PartialFill
2224	0x1008	EURCHF 	1.08	1.143	 Sell	Done
2225	0x1376	EURCHF 	1.08	1.137	 Sell	New
2226	0x1376	EURCHF 	1.08	1.137	 Sell	In_process
2227	0x1376	EURCHF 	1.08	1.137	 Sell	Fill
2228	0x1376	EURCHF 	1.08	1.137	 Sell	Done
2229	0x352	EURJPY 	126.39	127.120	 Sell	New
2230	0x352	EURJPY 	126.39	127.120	 Sell	In_process
2231	0x352	EURJPY 	126.39	127.120	 Sell	Fill
2232	0x352	EURJPY 	126.39	127.120	 Sell	Done
2233	0x102	USDCHF 	0.9	0.900	Buy	New
2234	0x102	USDCHF 	0.9	0.900	Buy	In_process
2235	0x102	USDCHF 	0.9	0.900	Buy	 PartialFill
2236	0x102	USDCHF 	0.9	0.900	Buy	Done
2237	0x10eb	USDCHF 	0.9	0.855	Buy	New
2238	0x10eb	USDCHF 	0.9	0.855	Buy	In_process
2239	0x10eb	USDCHF 	0.9	0.855	Buy	 PartialFill
2240	0x10eb	USDCHF 	0.9	0.855	Buy	Done
2241	0x1288	GBPUSD 	1.37	1.334	Buy	New
2242	0x1288	GBPUSD 	1.37	1.334	Buy	In_process
2243	0x1288	GBPUSD 	1.37	1.334	Buy	 Cansel
2244	0x1288	GBPUSD 	1.37	1.334	Buy	Done
2245	0x176d	GBPUSD 	1.37	1.337	Buy	New
2246	0x176d	GBPUSD 	1.37	1.337	Buy	In_process
2247	0x176d	GBPUSD 	1.37	1.337	Buy	Fill
2248	0x176d	GBPUSD 	1.37	1.337	Buy	Done
2249	0x142d	EURJPY 	126.39	127.050	 Sell	New
2250	0x142d	EURJPY 	126.39	127.050	 Sell	In_process
2251	0x142d	EURJPY 	126.39	127.050	 Sell	 PartialFill
2252	0x142d	EURJPY 	126.39	127.050	 Sell	Done
2253	0x7e7	EURCHF 	1.08	1.139	 Sell	New
2254	0x7e7	EURCHF 	1.08	1.139	 Sell	In_process
2255	0x7e7	EURCHF 	1.08	1.139	 Sell	 PartialFill
2256	0x7e7	EURCHF 	1.08	1.139	 Sell	Done
2257	0xc18	USDCHF 	0.9	0.858	Buy	New
2258	0xc18	USDCHF 	0.9	0.858	Buy	In_process
2259	0xc18	USDCHF 	0.9	0.858	Buy	 PartialFill
2260	0xc18	USDCHF 	0.9	0.858	Buy	Done
2261	0x581	GBPUSD 	1.37	1.336	Buy	New
2262	0x581	GBPUSD 	1.37	1.336	Buy	In_process
2263	0x581	GBPUSD 	1.37	1.336	Buy	Fill
2264	0x581	GBPUSD 	1.37	1.336	Buy	Done
2265	0x12e5	EURUSD 	1.2	1.181	 Sell	New
2266	0x12e5	EURUSD 	1.2	1.181	 Sell	In_process
2267	0x12e5	EURUSD 	1.2	1.181	 Sell	Fill
2268	0x12e5	EURUSD 	1.2	1.181	 Sell	Done
2269	0xe79	EURJPY 	126.39	127.110	 Sell	New
2270	0xe79	EURJPY 	126.39	127.110	 Sell	In_process
2271	0xe79	EURJPY 	126.39	127.110	 Sell	Fill
2272	0xe79	EURJPY 	126.39	127.110	 Sell	Done
2273	0x145d	USDCHF 	0.9	0.862	Buy	New
2274	0x145d	USDCHF 	0.9	0.862	Buy	In_process
2275	0x145d	USDCHF 	0.9	0.862	Buy	 PartialFill
2276	0x145d	USDCHF 	0.9	0.862	Buy	Done
2277	0x40c	GBPUSD 	1.37	1.341	Buy	New
2278	0x40c	GBPUSD 	1.37	1.341	Buy	In_process
2279	0x40c	GBPUSD 	1.37	1.341	Buy	 PartialFill
2280	0x40c	GBPUSD 	1.37	1.341	Buy	Done
2281	0x6d5	USDJPY 	105.02	105.020	Buy	New
2282	0x6d5	USDJPY 	105.02	105.020	Buy	In_process
2283	0x6d5	USDJPY 	105.02	105.020	Buy	 Cansel
2284	0x6d5	USDJPY 	105.02	105.020	Buy	Done
2285	0x114b	GBRJPY 	143.61	144.340	 Sell	New
2286	0x114b	GBRJPY 	143.61	144.340	 Sell	In_process
2287	0x114b	GBRJPY 	143.61	144.340	 Sell	Fill
2288	0x114b	GBRJPY 	143.61	144.340	 Sell	Done
2289	0xad2	AUDUSD 	0.76	0.846	Buy	New
2290	0xad2	AUDUSD 	0.76	0.846	Buy	In_process
2291	0xad2	AUDUSD 	0.76	0.846	Buy	 PartialFill
2292	0xad2	AUDUSD 	0.76	0.846	Buy	Done
2293	0xce7	EURUSD 	1.2	1.174	Buy	New
2294	0xce7	EURUSD 	1.2	1.174	Buy	In_process
2295	0xce7	EURUSD 	1.2	1.174	Buy	 Cansel
2296	0xce7	EURUSD 	1.2	1.174	Buy	Done
2297	0x1406	GBPUSD 	1.37	1.335	Buy	New
2298	0x1406	GBPUSD 	1.37	1.335	Buy	In_process
2299	0x1406	GBPUSD 	1.37	1.335	Buy	 PartialFill
2300	0x1406	GBPUSD 	1.37	1.335	Buy	Done
2301	0xf7c	EURJPY 	126.39	127.110	 Sell	New
2302	0xf7c	EURJPY 	126.39	127.110	 Sell	In_process
2303	0xf7c	EURJPY 	126.39	127.110	 Sell	 Cansel
2304	0xf7c	EURJPY 	126.39	127.110	 Sell	Done
2305	0x8f4	USDCAD 	0.78	0.875	Buy	New
2306	0x8f4	USDCAD 	0.78	0.875	Buy	In_process
2307	0x8f4	USDCAD 	0.78	0.875	Buy	 PartialFill
2308	0x8f4	USDCAD 	0.78	0.875	Buy	Done
2309	0x4d3	EURPLN 	4.5	4.481	 Sell	New
2310	0x4d3	EURPLN 	4.5	4.481	 Sell	In_process
2311	0x4d3	EURPLN 	4.5	4.481	 Sell	Fill
2312	0x4d3	EURPLN 	4.5	4.481	 Sell	Done
2313	0x120a	USDJPY 	105.02	104.540	Buy	New
2314	0x120a	USDJPY 	105.02	104.540	Buy	In_process
2315	0x120a	USDJPY 	105.02	104.540	Buy	Fill
2316	0x120a	USDJPY 	105.02	104.540	Buy	Done
2317	0x12b7	EURJPY 	126.39	126.390	 Sell	New
2318	0x12b7	EURJPY 	126.39	126.390	 Sell	In_process
2319	0x12b7	EURJPY 	126.39	126.390	 Sell	Fill
2320	0x12b7	EURJPY 	126.39	126.390	 Sell	Done
2321	0x1328	GBRJPY 	143.61	144.380	Buy	New
2322	0x1328	GBRJPY 	143.61	144.380	Buy	In_process
2323	0x1328	GBRJPY 	143.61	144.380	Buy	Fill
2324	0x1328	GBRJPY 	143.61	144.380	Buy	Done
2325	0x127c	GBPUSD 	1.37	1.339	Buy	New
2326	0x127c	GBPUSD 	1.37	1.339	Buy	In_process
2327	0x127c	GBPUSD 	1.37	1.339	Buy	 Cansel
2328	0x127c	GBPUSD 	1.37	1.339	Buy	Done
2329	0x1275	USDJPY 	105.02	104.540	Buy	New
2330	0x1275	USDJPY 	105.02	104.540	Buy	In_process
2331	0x1275	USDJPY 	105.02	104.540	Buy	 PartialFill
2332	0x1275	USDJPY 	105.02	104.540	Buy	Done
2333	0xf8f	EURJPY 	126.39	127.070	 Sell	New
2334	0xf8f	EURJPY 	126.39	127.070	 Sell	In_process
2335	0xf8f	EURJPY 	126.39	127.070	 Sell	 Cansel
2336	0xf8f	EURJPY 	126.39	127.070	 Sell	Done
2337	0x10d2	USDCHF 	0.9	0.862	Buy	New
2338	0x10d2	USDCHF 	0.9	0.862	Buy	In_process
2339	0x10d2	USDCHF 	0.9	0.862	Buy	 Cansel
2340	0x10d2	USDCHF 	0.9	0.862	Buy	Done
2341	0x82e	GBPUSD 	1.37	1.370	Buy	New
2342	0x82e	GBPUSD 	1.37	1.370	Buy	In_process
2343	0x82e	GBPUSD 	1.37	1.370	Buy	Fill
2344	0x82e	GBPUSD 	1.37	1.370	Buy	Done
2345	0x11c3	EURPLN 	4.5	4.488	 Sell	New
2346	0x11c3	EURPLN 	4.5	4.488	 Sell	In_process
2347	0x11c3	EURPLN 	4.5	4.488	 Sell	 Cansel
2348	0x11c3	EURPLN 	4.5	4.488	 Sell	Done
2349	0xd0c	USDCAD 	0.78	0.879	Buy	New
2350	0xd0c	USDCAD 	0.78	0.879	Buy	In_process
2351	0xd0c	USDCAD 	0.78	0.879	Buy	 PartialFill
2352	0xd0c	USDCAD 	0.78	0.879	Buy	Done
2353	0xb9d	EURJPY 	126.39	127.060	 Sell	New
2354	0xb9d	EURJPY 	126.39	127.060	 Sell	In_process
2355	0xb9d	EURJPY 	126.39	127.060	 Sell	Fill
2356	0xb9d	EURJPY 	126.39	127.060	 Sell	Done
2357	0x209	GBPUSD 	1.37	1.338	Buy	New
2358	0x209	GBPUSD 	1.37	1.338	Buy	In_process
2359	0x209	GBPUSD 	1.37	1.338	Buy	 PartialFill
2360	0x209	GBPUSD 	1.37	1.338	Buy	Done
2361	0x72a	USDCAD 	0.78	0.874	Buy	New
2362	0x72a	USDCAD 	0.78	0.874	Buy	In_process
2363	0x72a	USDCAD 	0.78	0.874	Buy	 Cansel
2364	0x72a	USDCAD 	0.78	0.874	Buy	Done
2365	0x507	EURPLN 	4.5	4.489	 Sell	New
2366	0x507	EURPLN 	4.5	4.489	 Sell	In_process
2367	0x507	EURPLN 	4.5	4.489	 Sell	 PartialFill
2368	0x507	EURPLN 	4.5	4.489	 Sell	Done
2369	0xfd7	USDPLN 	3.7	3.691	 Sell	New
2370	0xfd7	USDPLN 	3.7	3.691	 Sell	In_process
2371	0xfd7	USDPLN 	3.7	3.691	 Sell	Fill
2372	0xfd7	USDPLN 	3.7	3.691	 Sell	Done
2373	0x16e7	USDCAD 	0.78	0.780	Buy	New
2374	0x16e7	USDCAD 	0.78	0.780	Buy	In_process
2375	0x16e7	USDCAD 	0.78	0.780	Buy	Fill
2376	0x16e7	USDCAD 	0.78	0.780	Buy	Done
2377	0xc27	USDPLN 	3.7	3.699	 Sell	New
2378	0xc27	USDPLN 	3.7	3.699	 Sell	In_process
2379	0xc27	USDPLN 	3.7	3.699	 Sell	 PartialFill
2380	0xc27	USDPLN 	3.7	3.699	 Sell	Done
2381	0xbb7	EURPLN 	4.5	4.485	 Sell	New
2382	0xbb7	EURPLN 	4.5	4.485	 Sell	In_process
2383	0xbb7	EURPLN 	4.5	4.485	 Sell	Fill
2384	0xbb7	EURPLN 	4.5	4.485	 Sell	Done
2385	0xccd	EURPLN 	4.5	4.483	 Sell	New
2386	0xccd	EURPLN 	4.5	4.483	 Sell	In_process
2387	0xccd	EURPLN 	4.5	4.483	 Sell	 Cansel
2388	0xccd	EURPLN 	4.5	4.483	 Sell	Done
2389	0x942	EURPLN 	4.5	4.482	 Sell	New
2390	0x942	EURPLN 	4.5	4.482	 Sell	In_process
2391	0x942	EURPLN 	4.5	4.482	 Sell	Fill
2392	0x942	EURPLN 	4.5	4.482	 Sell	Done
2393	0xd64	USDPLN 	3.7	3.693	 Sell	New
2394	0xd64	USDPLN 	3.7	3.693	 Sell	In_process
2395	0xd64	USDPLN 	3.7	3.693	 Sell	 Cansel
2396	0xd64	USDPLN 	3.7	3.693	 Sell	Done
2397	0x97	AUDUSD 	0.76	0.846	Buy	New
2398	0x97	AUDUSD 	0.76	0.846	Buy	In_process
2399	0x97	AUDUSD 	0.76	0.846	Buy	 PartialFill
2400	0x97	AUDUSD 	0.76	0.846	Buy	Done
2401	0x1413	GBPUSD 	1.37	1.370	Buy	New
2402	0x1413	GBPUSD 	1.37	1.370	Buy	In_process
2403	0x1413	GBPUSD 	1.37	1.370	Buy	 Cansel
2404	0x1413	GBPUSD 	1.37	1.370	Buy	Done
2405	0x14de	GBRJPY 	143.61	144.420	Buy	New
2406	0x14de	GBRJPY 	143.61	144.420	Buy	In_process
2407	0x14de	GBRJPY 	143.61	144.420	Buy	 Cansel
2408	0x14de	GBRJPY 	143.61	144.420	Buy	Done
2409	0xa00	USDJPY 	105.02	104.550	Buy	New
2410	0xa00	USDJPY 	105.02	104.550	Buy	In_process
2411	0xa00	USDJPY 	105.02	104.550	Buy	Fill
2412	0xa00	USDJPY 	105.02	104.550	Buy	Done
2413	0x14df	USDCAD 	0.78	0.879	Buy	New
2414	0x14df	USDCAD 	0.78	0.879	Buy	In_process
2415	0x14df	USDCAD 	0.78	0.879	Buy	Fill
2416	0x14df	USDCAD 	0.78	0.879	Buy	Done
2417	0xa6a	EURUSD 	1.2	1.173	Buy	New
2418	0xa6a	EURUSD 	1.2	1.173	Buy	In_process
2419	0xa6a	EURUSD 	1.2	1.173	Buy	 PartialFill
2420	0xa6a	EURUSD 	1.2	1.173	Buy	Done
2421	0x114d	USDCHF 	0.9	0.858	Buy	New
2422	0x114d	USDCHF 	0.9	0.858	Buy	In_process
2423	0x114d	USDCHF 	0.9	0.858	Buy	 PartialFill
2424	0x114d	USDCHF 	0.9	0.858	Buy	Done
2425	0xba6	EURJPY 	126.39	127.120	 Sell	New
2426	0xba6	EURJPY 	126.39	127.120	 Sell	In_process
